race,outcome,term,estimate,std.error,statistic,p.value,lci,hci,or,or_lci,or_hci,reference,p,out
Asian,AD + MCI,"Unfavourable, e2+",0.82,0.66,1.24,0.2137782113272282,-0.48,2.12,2.28,0.62,8.36,FALSE,0.21378,"OR [95% CI] = 2.28 [0.62, 8.36], p = 0.21378"
Asian,AD + MCI,"Unfavourable, e3/e3",0.27,0.35,0.78,0.43388359667133786,-0.41,0.95,1.31,0.66,2.6,FALSE,0.43388,"OR [95% CI] = 1.31 [0.66, 2.6], p = 0.43388"
Asian,AD + MCI,"Unfavourable, e4+",1.49,0.6,2.5,0.012492141221707786,0.32,2.66,4.44,1.38,14.29,FALSE,0.01249,"OR [95% CI] = 4.44 [1.38, 14.29], p = 0.01249"
Asian,AD + MCI,"Favourable, e2+",-2.27,1.05,-2.16,0.030935325836650724,-4.33,-0.21,0.1,0.01,0.81,FALSE,0.03094,"OR [95% CI] = 0.1 [0.01, 0.81], p = 0.03094"
Asian,AD + MCI,"Favourable, e3/e3",-1.37,0.36,-3.79,1.5092831334957018e-4,-2.08,-0.66,0.25,0.12,0.52,FALSE,0.00015,"OR [95% CI] = 0.25 [0.12, 0.52], p = 0.00015"
Asian,AD + MCI,"Favourable, e4+",-0.65,0.46,-1.4,0.1605358402141487,-1.56,0.26,0.52,0.21,1.29,FALSE,0.16054,"OR [95% CI] = 0.52 [0.21, 1.29], p = 0.16054"
Asian,AD + MCI,"Intermediate, e2+",-0.64,0.4,-1.61,0.10767805840700465,-1.42,0.14,0.53,0.24,1.15,FALSE,0.10768,"OR [95% CI] = 0.53 [0.24, 1.15], p = 0.10768"
Asian,AD + MCI,"Intermediate, e4+",1.36,0.27,5.1,3.4114744943463375e-7,0.84,1.88,3.89,2.31,6.55,FALSE, 3.4e-07,"OR [95% CI] = 3.89 [2.31, 6.55], p =  3.4e-07"
NHW,AD,"Unfavourable, e2+",-0.18,0.21,-0.84,0.39908887206682564,-0.59,0.23,0.84,0.56,1.26,FALSE,0.39909,"OR [95% CI] = 0.84 [0.56, 1.26], p = 0.39909"
NHW,AD,"Unfavourable, e3/e3",0.27,0.08,3.5,4.592618926905793e-4,0.12,0.42,1.31,1.13,1.52,FALSE,0.00046,"OR [95% CI] = 1.31 [1.13, 1.52], p = 0.00046"
NHW,AD,"Unfavourable, e4+",1.59,0.08,19.84,1.2780000404345482e-87,1.43,1.75,4.91,4.2,5.75,FALSE, 1.3e-87,"OR [95% CI] = 4.91 [4.2, 5.75], p =  1.3e-87"
NHW,AD,"Favourable, e2+",-1.5,0.26,-5.75,8.69595687092723e-9,-2.02,-0.99,0.22,0.13,0.37,FALSE, 8.7e-09,"OR [95% CI] = 0.22 [0.13, 0.37], p =  8.7e-09"
NHW,AD,"Favourable, e3/e3",-0.64,0.09,-6.98,2.9584754887187678e-12,-0.82,-0.46,0.53,0.44,0.63,FALSE, 3.0e-12,"OR [95% CI] = 0.53 [0.44, 0.63], p =  3.0e-12"
NHW,AD,"Favourable, e4+",0.58,0.08,7.11,1.1645659778097042e-12,0.42,0.74,1.78,1.52,2.09,FALSE, 1.2e-12,"OR [95% CI] = 1.78 [1.52, 2.09], p =  1.2e-12"
NHW,AD,"Intermediate, e2+",-0.44,0.11,-4.23,2.3039955121702453e-5,-0.65,-0.24,0.64,0.52,0.79,FALSE, 2.3e-05,"OR [95% CI] = 0.64 [0.52, 0.79], p =  2.3e-05"
NHW,AD,"Intermediate, e4+",1.21,0.05,23.3,4.065710423137198e-120,1.11,1.31,3.36,3.03,3.72,FALSE,< 1e-100,"OR [95% CI] = 3.36 [3.03, 3.72], p = < 1e-100"
Latinx,AD,"Unfavourable, e2+",0.47,0.78,0.61,0.5412479365163377,-1.05,2,1.61,0.35,7.36,FALSE,0.54125,"OR [95% CI] = 1.61 [0.35, 7.36], p = 0.54125"
Latinx,AD,"Unfavourable, e3/e3",0.3,0.24,1.25,0.21171907921693486,-0.17,0.76,1.35,0.84,2.14,FALSE,0.21172,"OR [95% CI] = 1.35 [0.84, 2.14], p = 0.21172"
Latinx,AD,"Unfavourable, e4+",1.16,0.28,4.2,2.614823396091531e-5,0.62,1.7,3.18,1.85,5.46,FALSE, 2.6e-05,"OR [95% CI] = 3.18 [1.85, 5.46], p =  2.6e-05"
Latinx,AD,"Favourable, e2+",0.06,0.71,0.09,0.929222157095976,-1.33,1.46,1.07,0.26,4.3,FALSE,0.92922,"OR [95% CI] = 1.07 [0.26, 4.3], p = 0.92922"
Latinx,AD,"Favourable, e3/e3",-0.83,0.39,-2.12,0.033699998292312634,-1.59,-0.06,0.44,0.2,0.94,FALSE,0.03370,"OR [95% CI] = 0.44 [0.2, 0.94], p = 0.03370"
Latinx,AD,"Favourable, e4+",-0.38,0.45,-0.83,0.4066075908888666,-1.27,0.51,0.69,0.28,1.67,FALSE,0.40661,"OR [95% CI] = 0.69 [0.28, 1.67], p = 0.40661"
Latinx,AD,"Intermediate, e2+",-0.25,0.5,-0.5,0.6153142937496415,-1.22,0.72,0.78,0.29,2.06,FALSE,0.61531,"OR [95% CI] = 0.78 [0.29, 2.06], p = 0.61531"
Latinx,AD,"Intermediate, e4+",0.97,0.21,4.54,5.705831567329638e-6,0.55,1.39,2.64,1.74,4.01,FALSE, 5.7e-06,"OR [95% CI] = 2.64 [1.74, 4.01], p =  5.7e-06"
Black,AD,"Unfavourable, e2+",-0.32,0.42,-0.75,0.4523989886938957,-1.15,0.51,0.73,0.32,1.67,FALSE,0.45240,"OR [95% CI] = 0.73 [0.32, 1.67], p = 0.45240"
Black,AD,"Unfavourable, e3/e3",0.19,0.21,0.94,0.3486956510978116,-0.21,0.6,1.21,0.81,1.83,FALSE,0.34870,"OR [95% CI] = 1.21 [0.81, 1.83], p = 0.34870"
Black,AD,"Unfavourable, e4+",1.37,0.18,7.7,1.3778385133773907e-14,1.02,1.72,3.93,2.77,5.56,FALSE, 1.4e-14,"OR [95% CI] = 3.93 [2.77, 5.56], p =  1.4e-14"
Black,AD,"Favourable, e2+",-0.87,0.61,-1.41,0.15854894802177952,-2.07,0.34,0.42,0.13,1.4,FALSE,0.15855,"OR [95% CI] = 0.42 [0.13, 1.4], p = 0.15855"
